,Sector,Year,FDI(₹ Crores),FDI(US$ Million)
171,CEMENT AND GYPSUM PRODUCTS,2002-03,102.03,21.08
172,TIMBER PRODUCTS,2002-03,0.19,0.04
173,DEFENCE INDUSTRIES,2002-03,0.0,0.0
174,CONSULTANCY SERVICES,2002-03,124.39,25.7
175,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2002-03,1434.29,296.34
176,HOSPITAL & DIAGNOSTIC CENTRES,2002-03,140.99,29.13
177,EDUCATION,2002-03,0.0,0.0
178,HOTEL & TOURISM,2002-03,163.35,33.75
179,TRADING,2002-03,184.55,38.13
180,RETAIL TRADING,2002-03,0.0,0.0
181,AGRICULTURE SERVICES,2002-03,53.29,11.01
182,"DIAMOND,GOLD ORNAMENTS",2002-03,6.29,1.3
183,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2002-03,0.0,0.0
184,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2002-03,30.49,6.3
185,COIR,2002-03,0.0,0.0
186,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2002-03,0.0,0.0
187,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2002-03,174.72,36.1
188,MISCELLANEOUS INDUSTRIES,2002-03,1058.8,218.76
189,METALLURGICAL INDUSTRIES,2003-04,37.27,8.11
190,MINING,2003-04,107.89,23.48
191,POWER,2003-04,124.48,27.09
192,NON-CONVENTIONAL ENERGY,2003-04,19.02,4.14
193,COAL PRODUCTION,2003-04,0.18,0.04
194,PETROLEUM & NATURAL GAS,2003-04,370.54,80.64
195,BOILERS AND STEAM GENERATING PLANTS,2003-04,0.18,0.04
196,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2003-04,0.0,0.0
197,ELECTRICAL EQUIPMENTS,2003-04,336.35,73.2
198,COMPUTER SOFTWARE & HARDWARE,2003-04,1692.43,368.32
199,ELECTRONICS,2003-04,378.21,82.31
200,TELECOMMUNICATIONS,2003-04,397.42,86.49
201,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2003-04,63.04,13.72
202,AUTOMOBILE INDUSTRY,2003-04,547.22,119.09
203,AIR TRANSPORT (INCLUDING AIR FREIGHT),2003-04,4.32,0.94
204,SEA TRANSPORT,2003-04,100.86,21.95
205,PORTS,2003-04,534.67,116.36
206,RAILWAY RELATED COMPONENTS,2003-04,13.56,2.95
207,INDUSTRIAL MACHINERY,2003-04,14.61,3.18
208,MACHINE TOOLS,2003-04,250.47,54.51
209,AGRICULTURAL MACHINERY,2003-04,218.45,47.54
210,EARTH-MOVING MACHINERY,2003-04,0.05,0.01
211,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2003-04,104.44,22.73
212,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2003-04,47.83,10.41
213,MEDICAL AND SURGICAL APPLIANCES,2003-04,9.05,1.97
214,INDUSTRIAL INSTRUMENTS,2003-04,1.38,0.3
215,SCIENTIFIC INSTRUMENTS,2003-04,0.09,0.02
216,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2003-04,0.0,0.0
217,FERTILIZERS,2003-04,99.16,21.58
218,CHEMICALS (OTHER THAN FERTILIZERS),2003-04,93.0,20.24
219,PHOTOGRAPHIC RAW FILM AND PAPER,2003-04,1.1,0.24
220,DYE-STUFFS,2003-04,1.98,0.43
221,DRUGS & PHARMACEUTICALS,2003-04,500.44,108.91
222,"TEXTILES (INCLUDING DYED,PRINTED)",2003-04,42.92,9.34
223,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2003-04,32.85,7.15
224,SUGAR,2003-04,0.0,0.0
225,FERMENTATION INDUSTRIES,2003-04,7.81,1.7
226,FOOD PROCESSING INDUSTRIES,2003-04,501.87,109.22
227,VEGETABLE OILS AND VANASPATI,2003-04,7.77,1.69
228,"SOAPS, COSMETICS & TOILET PREPARATIONS",2003-04,0.0,0.0
229,RUBBER GOODS,2003-04,29.27,6.37
230,"LEATHER,LEATHER GOODS AND PICKERS",2003-04,34.69,7.55
231,GLUE AND GELATIN,2003-04,0.0,0.0
232,GLASS,2003-04,24.08,5.24
233,CERAMICS,2003-04,6.75,1.47
234,CEMENT AND GYPSUM PRODUCTS,2003-04,44.02,9.58
235,TIMBER PRODUCTS,2003-04,0.51,0.11
236,DEFENCE INDUSTRIES,2003-04,0.0,0.0
237,CONSULTANCY SERVICES,2003-04,212.29,46.2
238,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2003-04,1245.93,271.15
239,HOSPITAL & DIAGNOSTIC CENTRES,2003-04,110.65,24.08
240,EDUCATION,2003-04,0.87,0.19
241,HOTEL & TOURISM,2003-04,226.81,49.36
242,TRADING,2003-04,143.0,31.12
243,RETAIL TRADING,2003-04,0.0,0.0
244,AGRICULTURE SERVICES,2003-04,2.71,0.59
245,"DIAMOND,GOLD ORNAMENTS",2003-04,9.01,1.96
246,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2003-04,1.47,0.32
247,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2003-04,0.0,0.0
248,COIR,2003-04,0.0,0.0
249,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2003-04,0.0,0.0
250,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2003-04,216.15,47.04
251,MISCELLANEOUS INDUSTRIES,2003-04,1082.03,235.48
252,METALLURGICAL INDUSTRIES,2004-05,900.31,200.38
253,MINING,2004-05,44.57,9.92
254,POWER,2004-05,194.86,43.37
255,NON-CONVENTIONAL ENERGY,2004-05,5.71,1.27
256,COAL PRODUCTION,2004-05,0.0,0.0
257,PETROLEUM & NATURAL GAS,2004-05,461.79,102.78
258,BOILERS AND STEAM GENERATING PLANTS,2004-05,2.43,0.54
259,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2004-05,11.95,2.66
260,ELECTRICAL EQUIPMENTS,2004-05,437.62,97.4
261,COMPUTER SOFTWARE & HARDWARE,2004-05,2371.85,527.9
262,ELECTRONICS,2004-05,395.83,88.1
263,TELECOMMUNICATIONS,2004-05,531.66,118.33
264,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2004-05,44.26,9.85
265,AUTOMOBILE INDUSTRY,2004-05,548.01,121.97
266,AIR TRANSPORT (INCLUDING AIR FREIGHT),2004-05,18.47,4.11
267,SEA TRANSPORT,2004-05,166.02,36.95
268,PORTS,2004-05,58.59,13.04
269,RAILWAY RELATED COMPONENTS,2004-05,48.3,10.75
270,INDUSTRIAL MACHINERY,2004-05,39.94,8.89
271,MACHINE TOOLS,2004-05,49.6,11.04
272,AGRICULTURAL MACHINERY,2004-05,0.0,0.0
273,EARTH-MOVING MACHINERY,2004-05,0.45,0.1
